종목코드,종목명,시가총액,섹터,,,섹터분류
069960,현대백화점,"4,323,764,856,000",K소비재·유통,,,
175330,JB금융지주,"4,301,594,394,400",금융·지주,,,
002380,KCC,"4,249,187,072,000",정유·화학·석유화학,,,
440110,파두,"4,158,036,641,000",반도체,,,
066970,엘앤에프,"4,012,169,562,700",2차전지·배터리소재,,,
084370,유진테크,"3,955,308,849,200",반도체,,,
095340,ISC,"3,900,258,672,000",전기전자,,,
087010,펩트론,"3,893,997,450,000",바이오·의료기기,,,
082740,한화엔진,"3,892,809,174,300",조선·방산·우주항공,,,
088350,한화생명,"3,838,902,600,000",금융·지주,,,
052690,한전기술,"3,818,178,000,000",전력기기·전력인프라·원전,,,
018880,한온시스템,"3,653,494,685,120",자동차·모빌리티,,,
010060,OCI홀딩스,"3,622,025,008,000",전력기기·전력인프라·원전,,,
095610,테스,"3,548,688,000,000",반도체,,,
004020,현대제철,"3,529,641,013,250",철강·비철금속,,,
012510,더존비즈온,"3,494,865,960,000",인터넷·소프트웨어·게임·콘텐츠,,,
214370,케어젠,"3,469,989,000,000",바이오·의료기기,,,
347850,디앤디파마텍,"3,450,955,911,900",바이오·의료기기,,,
080220,제주반도체,"3,416,729,033,600",반도체,,,
108490,로보티즈,"3,401,358,496,000",전기전자,,,
336260,두산퓨얼셀,"3,392,575,006,800",전력기기·전력인프라·원전,,,
214450,파마리서치,"3,366,245,952,000",바이오·의료기기,,,
067310,하나마이크론,"3,230,851,503,600",반도체,,,
051900,LG생활건강,"3,219,737,445,000",K소비재·유통,,,
310210,보로노이,"3,146,298,089,200",바이오·의료기기,,,
103590,일진전기,"3,142,467,201,000",전력기기·전력인프라·원전,,,
111770,영원무역,"3,119,527,347,200",K소비재·유통,,,
178320,서진시스템,"3,109,338,502,450",전기전자,,,
145020,휴젤,"3,106,768,332,500",바이오·의료기기,,,
022100,포스코DX,"3,071,101,525,800",인터넷·소프트웨어·게임·콘텐츠,,,
035250,강원랜드,"3,022,979,265,000",K소비재·유통,,,
009420,한올바이오파마,"3,019,508,876,400",바이오·의료기기,,,
450080,에코프로머티,"2,997,917,736,800",2차전지·배터리소재,,,
483650,달바글로벌,"2,965,107,937,500",K소비재·유통,,,
214150,클래시스,"2,948,651,786,800",K소비재·유통,,,
036460,한국가스공사,"2,944,784,700,000",전력기기·전력인프라·원전,,,
001450,현대해상,"2,932,539,800,000",금융·지주,,,
031980,피에스케이홀딩스,"2,919,548,283,000",반도체,,,
251270,넷마블,"2,880,000,170,650",인터넷·소프트웨어·게임·콘텐츠,,,
011780,금호석유화학,"2,865,419,317,500",정유·화학·석유화학,,,
014680,한솔케미칼,"2,863,353,740,000",정유·화학·석유화학,,,
383220,F&F,"2,815,570,012,500",K소비재·유통,,,
064760,티씨케이,"2,811,623,124,000",반도체,,,
005290,동진쎄미켐,"2,803,356,930,000",반도체,,,
